id,title,difficulty,level,topic,platform,statement,description,input_format,output_format,constraints,sample_input,sample_output,sample_explanation,time_limit_ms,memory_limit_mb,submissions,acceptance_rate,updated_at,kind,family
P02880,Kth Largest Element - Medium #51840,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 1th largest element.",Practice heap operations: kth largest.,10 elements provided.,Print the 1th largest.,1 <= n <= 10000,"13 15 34 53 79 79 80
2",79,Sort and pick the 2-th value. (problem P02880),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02881,Median of Stream - Medium #51858,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,18 elements provided.,Print medians after each addition.,1 <= n <= 10000,6 16 37 70 77 78,6 16 37 70 77 78,Sort the numbers. (problem P02881),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02882,Kth Largest Element - Medium #51876,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 2th largest element.",Practice heap operations: kth largest.,16 elements provided.,Print the 2th largest.,1 <= n <= 10000,"4 9 21 23 26 48 65
4",23,Sort and pick the 4-th value. (problem P02882),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02883,Median of Stream - Medium #51894,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,14 elements provided.,Print medians after each addition.,1 <= n <= 10000,6 30 31 39 48 55 66 69,6 30 31 39 48 55 66 69,Sort the numbers. (problem P02883),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02884,Kth Largest Element - Medium #51912,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 3th largest element.",Practice heap operations: kth largest.,12 elements provided.,Print the 3th largest.,1 <= n <= 10000,"42 49 62 64 72 72
1",72,Sort and pick the 1-th value. (problem P02884),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02885,Median of Stream - Medium #51930,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,10 elements provided.,Print medians after each addition.,1 <= n <= 10000,7 7 9 10 12 44 48 51 58 65,7 7 9 10 12 44 48 51 58 65,Sort the numbers. (problem P02885),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02886,Kth Largest Element - Medium #51948,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 4th largest element.",Practice heap operations: kth largest.,18 elements provided.,Print the 4th largest.,1 <= n <= 10000,"12 14 15 20 23 60
4",15,Sort and pick the 4-th value. (problem P02886),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02887,Median of Stream - Medium #51966,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,16 elements provided.,Print medians after each addition.,1 <= n <= 10000,8 17 28 51 51 52 54 58 59,8 17 28 51 51 52 54 58 59,Sort the numbers. (problem P02887),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02888,Kth Largest Element - Medium #51984,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 5th largest element.",Practice heap operations: kth largest.,14 elements provided.,Print the 5th largest.,1 <= n <= 10000,"2 11 37 57 69 70 77
1",77,Sort and pick the 1-th value. (problem P02888),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02889,Median of Stream - Medium #52002,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,12 elements provided.,Print medians after each addition.,1 <= n <= 10000,18 47 52 65 69 74 78 79,18 47 52 65 69 74 78 79,Sort the numbers. (problem P02889),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02890,Kth Largest Element - Medium #52020,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 1th largest element.",Practice heap operations: kth largest.,10 elements provided.,Print the 1th largest.,1 <= n <= 10000,"1 17 21 24 31 39 58 63 69
4",39,Sort and pick the 4-th value. (problem P02890),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02891,Median of Stream - Medium #52038,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,18 elements provided.,Print medians after each addition.,1 <= n <= 10000,21 21 28 28 42 42 45 75 77,21 21 28 28 42 42 45 75 77,Sort the numbers. (problem P02891),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02892,Kth Largest Element - Medium #52056,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 2th largest element.",Practice heap operations: kth largest.,16 elements provided.,Print the 2th largest.,1 <= n <= 10000,"31 36 39 61 66 70 75 76 78 79
4",75,Sort and pick the 4-th value. (problem P02892),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02893,Median of Stream - Medium #52074,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,14 elements provided.,Print medians after each addition.,1 <= n <= 10000,8 9 11 19 59 59,8 9 11 19 59 59,Sort the numbers. (problem P02893),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02894,Kth Largest Element - Medium #52092,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 3th largest element.",Practice heap operations: kth largest.,12 elements provided.,Print the 3th largest.,1 <= n <= 10000,"15 17 34 46 48 57 67
4",46,Sort and pick the 4-th value. (problem P02894),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02895,Median of Stream - Medium #52110,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,10 elements provided.,Print medians after each addition.,1 <= n <= 10000,8 28 29 51 53 61 63 73,8 28 29 51 53 61 63 73,Sort the numbers. (problem P02895),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02896,Kth Largest Element - Medium #52128,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 4th largest element.",Practice heap operations: kth largest.,18 elements provided.,Print the 4th largest.,1 <= n <= 10000,"9 15 17 35 37 50 53 55 61 76
2",61,Sort and pick the 2-th value. (problem P02896),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02897,Median of Stream - Medium #52146,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,16 elements provided.,Print medians after each addition.,1 <= n <= 10000,10 34 37 65 67 67 75,10 34 37 65 67 67 75,Sort the numbers. (problem P02897),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02898,Kth Largest Element - Medium #52164,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 5th largest element.",Practice heap operations: kth largest.,14 elements provided.,Print the 5th largest.,1 <= n <= 10000,"17 21 31 37 51 66
2",51,Sort and pick the 2-th value. (problem P02898),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02899,Median of Stream - Medium #52182,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,12 elements provided.,Print medians after each addition.,1 <= n <= 10000,2 20 44 55 58 79,2 20 44 55 58 79,Sort the numbers. (problem P02899),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02900,Kth Largest Element - Medium #52200,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 1th largest element.",Practice heap operations: kth largest.,10 elements provided.,Print the 1th largest.,1 <= n <= 10000,"22 43 46 54 56 57 62 68 78
1",78,Sort and pick the 1-th value. (problem P02900),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02901,Median of Stream - Medium #52218,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,18 elements provided.,Print medians after each addition.,1 <= n <= 10000,9 15 23 42 52 68,9 15 23 42 52 68,Sort the numbers. (problem P02901),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02902,Kth Largest Element - Medium #52236,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 2th largest element.",Practice heap operations: kth largest.,16 elements provided.,Print the 2th largest.,1 <= n <= 10000,"1 1 15 24 29 29 31 49 64 75
3",49,Sort and pick the 3-th value. (problem P02902),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02903,Median of Stream - Medium #52254,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,14 elements provided.,Print medians after each addition.,1 <= n <= 10000,5 6 20 41 64 68 69,5 6 20 41 64 68 69,Sort the numbers. (problem P02903),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02904,Kth Largest Element - Medium #52272,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 3th largest element.",Practice heap operations: kth largest.,12 elements provided.,Print the 3th largest.,1 <= n <= 10000,"22 22 23 40 42 42 43 49 66 73
4",43,Sort and pick the 4-th value. (problem P02904),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02905,Median of Stream - Medium #52290,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,10 elements provided.,Print medians after each addition.,1 <= n <= 10000,5 10 27 35 47 49 51 54 64,5 10 27 35 47 49 51 54 64,Sort the numbers. (problem P02905),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02906,Kth Largest Element - Medium #52308,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 4th largest element.",Practice heap operations: kth largest.,18 elements provided.,Print the 4th largest.,1 <= n <= 10000,"5 13 37 40 45 51 56 74 77
2",74,Sort and pick the 2-th value. (problem P02906),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02907,Median of Stream - Medium #52326,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,16 elements provided.,Print medians after each addition.,1 <= n <= 10000,22 36 49 51 53 54 66 72 79,22 36 49 51 53 54 66 72 79,Sort the numbers. (problem P02907),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02908,Kth Largest Element - Medium #52344,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 5th largest element.",Practice heap operations: kth largest.,14 elements provided.,Print the 5th largest.,1 <= n <= 10000,"6 10 20 20 27 27 32 33 75
4",27,Sort and pick the 4-th value. (problem P02908),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02909,Median of Stream - Medium #52362,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,12 elements provided.,Print medians after each addition.,1 <= n <= 10000,17 18 18 24 58 73 78,17 18 18 24 58 73 78,Sort the numbers. (problem P02909),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02910,Kth Largest Element - Medium #52380,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 1th largest element.",Practice heap operations: kth largest.,10 elements provided.,Print the 1th largest.,1 <= n <= 10000,"3 5 6 7 35 42 44 52 75
1",75,Sort and pick the 1-th value. (problem P02910),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02911,Median of Stream - Medium #52398,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,18 elements provided.,Print medians after each addition.,1 <= n <= 10000,14 21 45 52 59 74,14 21 45 52 59 74,Sort the numbers. (problem P02911),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02912,Kth Largest Element - Medium #52416,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 2th largest element.",Practice heap operations: kth largest.,16 elements provided.,Print the 2th largest.,1 <= n <= 10000,"19 20 23 26 57 58 62 73
1",73,Sort and pick the 1-th value. (problem P02912),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02913,Median of Stream - Medium #52434,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,14 elements provided.,Print medians after each addition.,1 <= n <= 10000,9 18 40 46 68 68,9 18 40 46 68 68,Sort the numbers. (problem P02913),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02914,Kth Largest Element - Medium #52452,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 3th largest element.",Practice heap operations: kth largest.,12 elements provided.,Print the 3th largest.,1 <= n <= 10000,"2 5 12 15 36 45 51 55
2",51,Sort and pick the 2-th value. (problem P02914),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02915,Median of Stream - Medium #52470,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,10 elements provided.,Print medians after each addition.,1 <= n <= 10000,6 13 17 59 62 70,6 13 17 59 62 70,Sort the numbers. (problem P02915),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02916,Kth Largest Element - Medium #52488,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 4th largest element.",Practice heap operations: kth largest.,18 elements provided.,Print the 4th largest.,1 <= n <= 10000,"4 24 30 38 39 75
3",38,Sort and pick the 3-th value. (problem P02916),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02917,Median of Stream - Medium #52506,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,16 elements provided.,Print medians after each addition.,1 <= n <= 10000,2 11 26 38 46 70 80,2 11 26 38 46 70 80,Sort the numbers. (problem P02917),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02918,Kth Largest Element - Medium #52524,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 5th largest element.",Practice heap operations: kth largest.,14 elements provided.,Print the 5th largest.,1 <= n <= 10000,"7 8 20 22 37 43 47 70 75
4",43,Sort and pick the 4-th value. (problem P02918),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02919,Median of Stream - Medium #52542,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,12 elements provided.,Print medians after each addition.,1 <= n <= 10000,4 13 22 25 31 56 57 69 77,4 13 22 25 31 56 57 69 77,Sort the numbers. (problem P02919),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02920,Kth Largest Element - Medium #52560,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 1th largest element.",Practice heap operations: kth largest.,10 elements provided.,Print the 1th largest.,1 <= n <= 10000,"10 17 22 24 33 35 54 62
1",62,Sort and pick the 1-th value. (problem P02920),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02921,Median of Stream - Medium #52578,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,18 elements provided.,Print medians after each addition.,1 <= n <= 10000,1 2 21 35 36 42 58 58 74,1 2 21 35 36 42 58 58 74,Sort the numbers. (problem P02921),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02922,Kth Largest Element - Medium #52596,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 2th largest element.",Practice heap operations: kth largest.,16 elements provided.,Print the 2th largest.,1 <= n <= 10000,"8 33 37 39 44 52 58
3",44,Sort and pick the 3-th value. (problem P02922),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02923,Median of Stream - Medium #52614,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,14 elements provided.,Print medians after each addition.,1 <= n <= 10000,3 4 4 12 20 25 30 47 48 62,3 4 4 12 20 25 30 47 48 62,Sort the numbers. (problem P02923),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02924,Kth Largest Element - Medium #52632,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 3th largest element.",Practice heap operations: kth largest.,12 elements provided.,Print the 3th largest.,1 <= n <= 10000,"9 16 21 24 55 66 80
1",80,Sort and pick the 1-th value. (problem P02924),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02925,Median of Stream - Medium #52650,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,10 elements provided.,Print medians after each addition.,1 <= n <= 10000,13 16 23 42 43 45 67 71 78,13 16 23 42 43 45 67 71 78,Sort the numbers. (problem P02925),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02926,Kth Largest Element - Medium #52668,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 4th largest element.",Practice heap operations: kth largest.,18 elements provided.,Print the 4th largest.,1 <= n <= 10000,"12 22 33 43 59 67 68 68 80
3",68,Sort and pick the 3-th value. (problem P02926),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02927,Median of Stream - Medium #52686,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,16 elements provided.,Print medians after each addition.,1 <= n <= 10000,1 5 33 33 39 48 60 61 76,1 5 33 33 39 48 60 61 76,Sort the numbers. (problem P02927),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02928,Kth Largest Element - Medium #52704,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 5th largest element.",Practice heap operations: kth largest.,14 elements provided.,Print the 5th largest.,1 <= n <= 10000,"30 35 40 42 52 54 57 64 75
1",75,Sort and pick the 1-th value. (problem P02928),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02929,Median of Stream - Medium #52722,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,12 elements provided.,Print medians after each addition.,1 <= n <= 10000,1 31 52 53 73 76,1 31 52 53 73 76,Sort the numbers. (problem P02929),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02930,Kth Largest Element - Medium #52740,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 1th largest element.",Practice heap operations: kth largest.,10 elements provided.,Print the 1th largest.,1 <= n <= 10000,"6 10 18 21 42 56 57 73 79
2",73,Sort and pick the 2-th value. (problem P02930),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02931,Median of Stream - Medium #52758,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,18 elements provided.,Print medians after each addition.,1 <= n <= 10000,6 14 35 47 51 63 65 72,6 14 35 47 51 63 65 72,Sort the numbers. (problem P02931),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02932,Kth Largest Element - Medium #52776,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 2th largest element.",Practice heap operations: kth largest.,16 elements provided.,Print the 2th largest.,1 <= n <= 10000,"13 19 30 31 57 80
2",57,Sort and pick the 2-th value. (problem P02932),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02933,Median of Stream - Medium #52794,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,14 elements provided.,Print medians after each addition.,1 <= n <= 10000,8 11 12 25 27 51 71 74,8 11 12 25 27 51 71 74,Sort the numbers. (problem P02933),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02934,Kth Largest Element - Medium #52812,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 3th largest element.",Practice heap operations: kth largest.,12 elements provided.,Print the 3th largest.,1 <= n <= 10000,"11 19 26 29 39 45 49 60 74 77
2",74,Sort and pick the 2-th value. (problem P02934),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02935,Median of Stream - Medium #52830,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,10 elements provided.,Print medians after each addition.,1 <= n <= 10000,1 9 29 32 39 58 60 64 77,1 9 29 32 39 58 60 64 77,Sort the numbers. (problem P02935),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02936,Kth Largest Element - Medium #52848,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 4th largest element.",Practice heap operations: kth largest.,18 elements provided.,Print the 4th largest.,1 <= n <= 10000,"10 23 23 29 44 55 74 76 79
1",79,Sort and pick the 1-th value. (problem P02936),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02937,Median of Stream - Medium #52866,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,16 elements provided.,Print medians after each addition.,1 <= n <= 10000,8 15 29 64 64 73 76,8 15 29 64 64 73 76,Sort the numbers. (problem P02937),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02938,Kth Largest Element - Medium #52884,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 5th largest element.",Practice heap operations: kth largest.,14 elements provided.,Print the 5th largest.,1 <= n <= 10000,"21 55 55 57 62 65
1",65,Sort and pick the 1-th value. (problem P02938),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02939,Median of Stream - Medium #52902,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream.,12 elements provided.,Print medians after each addition.,1 <= n <= 10000,6 7 13 21 30 35 64 77,6 7 13 21 30 35 64 77,Sort the numbers. (problem P02939),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02940,Kth Largest Element - Medium #52920,Medium,Intermediate,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 1th largest element.",Practice heap operations: kth largest.,10 elements provided.,Print the 1th largest.,1 <= n <= 10000,"2 3 6 10 30 40 44 47 60
1",60,Sort and pick the 1-th value. (problem P02940),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02941,Merge K Sorted Lists - Hard #79407,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,Merge 3 sorted arrays into one sorted array.,Practice heap operations: merge k lists. Unique hard variant for P02941.,37 elements provided.,Print merged and sorted array.,1 <= n <= 100000,15 18 31 41 42 55 71 77,15 18 31 41 42 55 71 77,Sort the numbers. (problem P02941),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02942,Median of Stream - Hard #79434,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream. Unique hard variant for P02942.,44 elements provided.,Print medians after each addition.,1 <= n <= 100000,31 38 39 50 54 59 72 72 72 80,31 38 39 50 54 59 72 72 72 80,Sort the numbers. (problem P02942),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02943,Top K Frequent Elements - Hard #79461,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the top 2 most frequent elements.",Practice heap operations: top k elements. Unique hard variant for P02943.,31 elements provided.,Print the 2 most frequent elements.,1 <= n <= 100000,"6 2 2 4 3 1 2 1 3 2
3","[2, 3, 1]",Count frequencies and extract the top k. (problem P02943),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02944,Kth Largest Element - Hard #79488,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 4th largest element.",Practice heap operations: kth largest. Unique hard variant for P02944.,38 elements provided.,Print the 4th largest.,1 <= n <= 100000,"1 9 18 20 28 61 67 80
4",28,Sort and pick the 4-th value. (problem P02944),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02945,Merge K Sorted Lists - Hard #79515,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,Merge 1 sorted arrays into one sorted array.,Practice heap operations: merge k lists. Unique hard variant for P02945.,45 elements provided.,Print merged and sorted array.,1 <= n <= 100000,1 2 4 32 45 47 50 54 78,1 2 4 32 45 47 50 54 78,Sort the numbers. (problem P02945),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02946,Median of Stream - Hard #79542,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream. Unique hard variant for P02946.,32 elements provided.,Print medians after each addition.,1 <= n <= 100000,33 33 46 57 67 74 79,33 33 46 57 67 74 79,Sort the numbers. (problem P02946),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02947,Top K Frequent Elements - Hard #79569,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the top 5 most frequent elements.",Practice heap operations: top k elements. Unique hard variant for P02947.,39 elements provided.,Print the 5 most frequent elements.,1 <= n <= 100000,"5 3 5 2 1 4 2 1 1 4
3","[1, 5, 2]",Count frequencies and extract the top k. (problem P02947),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02948,Kth Largest Element - Hard #79596,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 2th largest element.",Practice heap operations: kth largest. Unique hard variant for P02948.,46 elements provided.,Print the 2th largest.,1 <= n <= 100000,"3 14 28 31 34 49 53 67
3",49,Sort and pick the 3-th value. (problem P02948),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02949,Merge K Sorted Lists - Hard #79623,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,Merge 4 sorted arrays into one sorted array.,Practice heap operations: merge k lists. Unique hard variant for P02949.,33 elements provided.,Print merged and sorted array.,1 <= n <= 100000,6 10 41 46 61 62,6 10 41 46 61 62,Sort the numbers. (problem P02949),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02950,Median of Stream - Hard #79650,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,Maintain two heaps to find median as elements are added.,Practice heap operations: median stream. Unique hard variant for P02950.,40 elements provided.,Print medians after each addition.,1 <= n <= 100000,24 30 33 33 39 62 67 78,24 30 33 33 39 62 67 78,Sort the numbers. (problem P02950),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02951,Top K Frequent Elements - Hard #79677,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the top 3 most frequent elements.",Practice heap operations: top k elements. Unique hard variant for P02951.,47 elements provided.,Print the 3 most frequent elements.,1 <= n <= 100000,"2 3 4 2 1 5 6 2 1 6
3","[2, 1, 6]",Count frequencies and extract the top k. (problem P02951),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
P02952,Kth Largest Element - Hard #79704,Hard,Advanced,"[""Heap / Priority Queue""]",CodingStar,"Given an array, find the 5th largest element.",Practice heap operations: kth largest. Unique hard variant for P02952.,34 elements provided.,Print the 5th largest.,1 <= n <= 100000,"11 23 27 29 60 75 76
1",76,Sort and pick the 1-th value. (problem P02952),2000,256,0,,2026-05-21T12:12:20Z,algorithm,heap
